celltype	pvalue	q	trait	discovery	z
epithelial cell of large intestine	0.67203797844931	0.990457272962865	UKB_460K.blood_PLATELET_COUNT	False	-0.4455476355199125
mesangial cell	0.676812469857958	0.990457272962865	UKB_460K.blood_PLATELET_COUNT	False	-0.4588038075372455
precursor B cell	0.740782428871366	1.0	UKB_460K.blood_PLATELET_COUNT	False	-0.6457594662598536
pancreatic acinar cell	0.768986339430792	1.0	UKB_460K.blood_PLATELET_COUNT	False	-0.7355126789222236
club cell of bronchiole	0.806604845116495	1.0	UKB_460K.blood_PLATELET_COUNT	False	-0.8654528034441179
mucus secreting cell	0.806937787721931	1.0	UKB_460K.blood_PLATELET_COUNT	False	-0.8666671223135511
stromal cell	0.822336074755962	1.0	UKB_460K.blood_PLATELET_COUNT	False	-0.9243044039814345
ciliated columnar cell of tracheobronchial tree	0.867641307835582	1.0	UKB_460K.blood_PLATELET_COUNT	False	-1.1153105072476244
keratinocyte	0.888924099215996	1.0	UKB_460K.blood_PLATELET_COUNT	False	-1.2208262793324551
mesenchymal stem cell	0.913131133677443	1.0	UKB_460K.blood_PLATELET_COUNT	False	-1.3602913877100469
pancreatic PP cell	0.936701795117044	1.0	UKB_460K.blood_PLATELET_COUNT	False	-1.5276622807613018
skeletal muscle satellite cell	0.950895434538523	1.0	UKB_460K.blood_PLATELET_COUNT	False	-1.653598434863972
pancreatic B cell	0.955319142094413	1.0	UKB_460K.blood_PLATELET_COUNT	False	-1.6987743102002524
smooth muscle cell of trachea	0.975085284476271	1.0	UKB_460K.blood_PLATELET_COUNT	False	-1.9614253002332342
ventricular myocyte	0.99435512056657	1.0	UKB_460K.blood_PLATELET_COUNT	False	-2.5335997937638384
myeloid cell	0.996498344841861	1.0	UKB_460K.blood_PLATELET_COUNT	False	-2.696686810986194
lung neuroendocrine cell	0.996522434642441	1.0	UKB_460K.blood_PLATELET_COUNT	False	-2.698985019065212
pancreatic A cell	0.999326277303574	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.2056782983937286
thymocyte	0.999426188183143	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.2515877022613315
kidney loop of Henle ascending limb epithelial cell	0.99943607466263	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.256524824971551
enteroendocrine cell	0.99953981965575	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.313803784391589
ependymal cell	0.999711396418519	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.4421045283912073
kidney collecting duct principal cell	0.99981370171764	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.5587693440908916
basal epithelial cell of tracheobronchial tree	0.999833269969435	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.587815538975971
pancreatic D cell	0.999906978139112	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.7372502686267985
atrial myocyte	0.999947222732933	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.8774557124739215
Bergmann glial cell	0.999965146271031	1.0	UKB_460K.blood_PLATELET_COUNT	False	-3.977282073230059
astrocyte	0.999980231975948	1.0	UKB_460K.blood_PLATELET_COUNT	False	-4.110174353663844
neuronal stem cell	0.99998115839554	1.0	UKB_460K.blood_PLATELET_COUNT	False	-4.121243978117146
aortic endothelial cell	0.999993042530346	1.0	UKB_460K.blood_PLATELET_COUNT	False	-4.345199102362191
epithelial cell	0.999996403849862	1.0	UKB_460K.blood_PLATELET_COUNT	False	-4.48791680604611
Brush cell of epithelium proper of large intestine	0.999997945257507	1.0	UKB_460K.blood_PLATELET_COUNT	False	-4.60576691232513
interneuron	0.999999614941595	1.0	UKB_460K.blood_PLATELET_COUNT	False	-4.942791883824092
fibrocyte	0.999999992714098	1.0	UKB_460K.blood_PLATELET_COUNT	False	-5.6665303390541695
epithelial cell of thymus	0.999999993355961	1.0	UKB_460K.blood_PLATELET_COUNT	False	-5.682318656518263
neuroepithelial cell	0.999999999457925	1.0	UKB_460K.blood_PLATELET_COUNT	False	-6.096501385752445
oligodendrocyte precursor cell	0.999999999999974	1.0	UKB_460K.blood_PLATELET_COUNT	False	-7.526901746478609
neuron	0.999999999999997	1.0	UKB_460K.blood_PLATELET_COUNT	False	-7.804048692411867
professional antigen presenting cell	1.0	1.0	UKB_460K.blood_PLATELET_COUNT	False	-8.209536151601387
medium spiny neuron	1.0	1.0	UKB_460K.blood_PLATELET_COUNT	False	-8.209536151601387
CD4-positive, alpha-beta T cell	2.98918505330995e-18	3.58702206397194e-16	PASS_UC_deLange2017	True	8.632961235383044
