Gene	Entrez	Cell group	FDR	Associated	Influence score	Influence score rank	In SFARI
SLC2A6	11182	1	0.0493421829057201	True	0.017313035972700203	169.0	False
GAL3ST3	89792	1	0.0493421829057201	True	0.017149718702037284	170.0	False
TMEM132E	124842	1	0.0493421829057201	True	0.016877369168933495	171.0	False
TAC3	6866	1	0.0493421829057201	True	0.01687264890232987	172.0	False
SNCG	6623	1	0.0493421829057201	True	0.016575913458826724	173.0	False
ENTREP3	10712	1	0.0493421829057201	True	0.016558081704635325	174.0	False
TMEM178B	100507421	1	0.0493421829057201	True	0.016479325969968327	175.0	False
EID2	163126	1	0.0493421829057201	True	0.01638688687098399	176.0	False
FOLH1	2346	1	0.0493421829057201	True	0.01633074694341518	177.0	False
WDR6	11180	1	0.0493421829057201	True	0.016285119801109887	178.0	False
GPR26	2849	2	0.2942020029586559	False	0.28920451748806697	1.0	False
VWC2L	402117	2	0.2942020029586559	False	0.20543465073409678	2.0	False
KCNA5	3741	2	0.2942020029586559	False	0.20109972333661863	3.0	False
ACKR1	2532	2	0.2942020029586559	False	0.1324564502840894	4.0	False
ADGRA1	84435	2	0.2942020029586559	False	0.11955948516166438	5.0	False
ANKRD34A	284615	2	0.2942020029586559	False	0.10244367067210443	6.0	False
